id;emp_number;first_name;last_name;known_name;email;is_active;phone;address_line_1;address_line_2;city;country;image_url;image;image_content_type;salary;designation;branch_id;emp_type_id
1;calculate Investment Account;Ralph;Carter;Investment Account port withdrawal;"+Q>C@0.HW)h";false;800.252.1049 x77652;Garden Berkshire Isle;cross-platform;North Summermouth;South Africa;synergy internet solution;../fake-data/blob/hipster.png;image/png;746;Singapore;1;1
2;Connecticut Berkshire Wooden;Eunice;Aufderhar;pink;"D?{@h]-7/Z.z/eH";false;939.565.4194;24 hour;New Zealand;Vidamouth;Dominican Republic;Small Concrete Chicken;../fake-data/blob/hipster.png;image/png;84273;initiatives bluetooth Officer;2;2
3;Digitized;Hope;Turcotte;Shoes purple white;"iV$@Y)&v.)0";false;641-060-1695;upward-trending;Executive sensor;North Isomton;Moldova;monetize Pataca;../fake-data/blob/hipster.png;image/png;53464;invoice;3;3
4;De-engineered redundant;Darren;Hudson;payment;"W6y@*t..sbxqa";false;980.083.0469;Pakistan Rupee Handmade Steel Chair Music;Games Finland Table;Rosalynton;Guatemala;Turkish Lira implementation;../fake-data/blob/hipster.png;image/png;28547;Salad;4;4
5;Poland Principal eyeballs;Alfonso;Shields;Gorgeous;"89&~@~|dl-h.Rr!W'm";false;1-820-124-4313;synthesize web services;Assistant invoice Awesome Concrete Chair;West Freedatown;Singapore;Handmade Soft Chips;../fake-data/blob/hipster.png;image/png;98531;HTTP Bedfordshire;5;5
6;schemas Self-enabling Object-based;Louie;Balistreri;Frozen;"R>Q@>J.N<,y%p";true;559-737-6773 x11871;navigating;override;Lake Tessshire;American Samoa;Rapids override;../fake-data/blob/hipster.png;image/png;95459;Bouvet Island (Bouvetoya) next generation deliver;6;6
7;cross-platform;Alfredo;Schimmel;Gorgeous Steel Bacon;"EwV@ew.P";true;1-628-402-9400 x214;national Cotton;Infrastructure Fantastic Granite Computer Generic;Malachifurt;Spain;iterate Jewelery;../fake-data/blob/hipster.png;image/png;95799;Implemented Assurance;7;7
8;Sleek;Elizabeth;Shields;Quality;"kPL@l?U~zq.u";true;365.582.3023 x910;JBOD;Soap quantifying;East Kip;New Zealand;XSS Manor;../fake-data/blob/hipster.png;image/png;78790;web services;8;8
9;cyan synthesize;Easter;Hettinger;Assistant Intranet;"ocDs@|F|K!f.O!GW";true;(864) 146-6624 x00988;interface SAS PCI;matrix CFA Franc BEAC Plastic;Lake Verona;Central African Republic;Architect magnetic;../fake-data/blob/hipster.png;image/png;58615;Buckinghamshire scalable;9;9
10;Grocery Rubber functionalities;Mason;Greenfelder;generate PCI withdrawal;"^:@I*4;.E9";false;686.672.2374 x5545;strategic UIC-Franc;Regional Incredible overriding;West Jimmie;Canada;Forge;../fake-data/blob/hipster.png;image/png;53708;Naira Director Home Loan Account;10;10
